date,tempreature,humidity,N,P,K
2024-01-14 06:04:00,33,70,255,255,255
2024-01-14 06:04:00,33,71,255,255,255
2024-01-14 06:05:00,33,70,255,255,255
2024-01-14 06:05:00,33,69,255,255,255
2024-01-14 06:05:00,33,70,255,255,255
2024-01-14 06:06:00,33,71,255,255,255
2024-01-14 06:15:00,33,69,255,255,255
2024-01-14 06:15:00,33,67,255,255,255
2024-01-14 06:16:00,33,67,255,255,255
2024-01-14 06:17:00,33,67,255,255,255
2024-01-14 06:17:00,33,68,255,255,255
2024-01-14 06:17:00,33,69,255,255,255
2024-01-14 06:18:00,33,66,255,255,255
2024-01-14 06:18:00,33,68,255,255,255
2024-01-14 06:18:00,33,69,255,255,255
2024-01-14 06:19:00,33,70,255,255,255
2024-01-14 06:19:00,33,67,255,255,255
2024-01-14 06:19:00,33,69,255,255,255
2024-01-14 06:20:00,33,69,255,255,255
2024-01-14 06:20:00,33,66,255,255,255
2024-01-14 06:20:00,33,67,255,255,255
2024-01-14 06:20:00,33,68,255,255,255
2024-01-14 06:20:00,33,70,255,255,255
2024-01-14 06:21:00,33,69,255,255,255
2024-01-14 06:21:00,33,68,255,255,255
2024-01-14 06:21:00,33,70,255,255,255
2024-01-14 06:21:00,33,67,255,255,255
2024-01-14 06:22:00,33,67,255,255,255
2024-01-14 06:22:00,33,69,255,255,255
2024-01-14 06:22:00,33,68,255,255,255
2024-01-14 06:22:00,33,69,255,255,255
2024-01-14 06:23:00,33,69,255,255,255
2024-01-14 06:23:00,33,68,255,255,255
2024-01-14 06:23:00,33,70,255,255,255
2024-01-14 06:24:00,33,67,255,255,255
2024-01-17 03:42:00,33,62,255,255,255
2024-01-17 03:52:00,33,63,255,255,255
2024-01-17 04:07:00,33,62,255,255,255
2024-01-17 04:22:00,33,61,255,255,255
2024-01-18 04:02:00,33,65,255,255,255
2024-01-18 04:42:00,33,66,255,255,255
2024-01-18 06:32:00,33,64,255,255,255
2024-01-20 04:12:00,33,60,255,255,255
2024-01-20 04:22:00,33,63,255,255,255
2024-01-20 04:27:00,33,61,255,255,255
2024-01-20 04:32:00,33,59,255,255,255
2024-01-20 04:37:00,33,62,255,255,255
2024-01-20 04:42:00,33,62,255,255,255
2024-01-20 04:47:00,33,60,255,255,255
2024-01-20 05:02:00,33,67,255,255,255
2024-01-20 05:07:00,33,67,255,255,255
2024-01-20 05:12:00,33,68,255,255,255
2024-01-20 05:17:00,33,68,255,255,255
2024-01-20 05:22:00,33,67,255,255,255
2024-01-20 05:27:00,33,67,255,255,255
2024-01-21 05:27:00,33,25,255,255,255
2024-01-21 05:31:00,33,21,255,255,255
2024-01-21 05:45:00,33,5,255,255,255
2024-01-21 05:45:00,33,9,255,255,255
2024-01-21 05:45:00,33,7,255,255,255
2024-01-21 05:45:00,33,4,255,255,255
2024-01-21 05:47:00,33,6,255,255,255
2024-01-21 05:47:00,33,3,255,255,255
2024-01-21 05:47:00,33,7,255,255,255
2024-01-21 05:47:00,33,5,255,255,255
2024-01-21 05:47:00,33,8,255,255,255
2024-01-21 05:48:00,33,4,255,255,255
2024-01-21 05:48:00,33,2,255,255,255
2024-01-21 05:48:00,33,3,255,255,255
2024-01-21 05:48:00,33,7,255,255,255
2024-01-21 05:48:00,33,6,255,255,255
2024-01-21 05:49:00,33,4,255,255,255
2024-01-21 05:49:00,33,2,255,255,255
2024-01-21 05:49:00,33,8,255,255,255
2024-01-21 05:49:00,33,7,255,255,255
2024-01-21 05:49:00,33,3,255,255,255
2024-01-21 05:49:00,33,6,255,255,255
2024-01-21 05:50:00,33,3,255,255,255
2024-01-21 05:50:00,33,6,255,255,255
2024-01-21 05:50:00,33,4,255,255,255
2024-01-21 05:50:00,33,1,255,255,255
2024-01-21 05:50:00,33,5,255,255,255
2024-01-21 05:50:00,33,0,255,255,255
2024-01-21 05:50:00,33,2,255,255,255
2024-01-21 05:51:00,33,4,255,255,255
2024-01-21 05:51:00,33,0,255,255,255
2024-01-21 05:51:00,33,1,255,255,255
2024-01-21 05:52:00,33,1,255,255,255
2024-01-21 05:52:00,33,2,255,255,255
2024-01-21 05:52:00,33,4,255,255,255
2024-01-21 05:52:00,33,0,255,255,255
2024-01-21 05:53:00,33,0,255,255,255
2024-01-21 05:53:00,33,2,255,255,255
2024-01-21 06:01:00,33,3,255,255,255
2024-01-21 06:02:00,33,4,255,255,255
2024-01-21 06:02:00,33,3,255,255,255
2024-01-21 06:02:00,33,2,255,255,255
2024-01-21 06:02:00,33,6,255,255,255
2024-01-21 06:03:00,33,5,255,255,255
2024-01-21 06:03:00,33,6,255,255,255
2024-01-21 06:03:00,33,2,255,255,255
2024-01-21 06:03:00,33,4,255,255,255
2024-01-21 06:03:00,33,3,255,255,255
2024-01-21 06:03:00,33,7,255,255,255
2024-01-21 06:04:00,33,6,255,255,255
2024-01-21 06:04:00,33,5,255,255,255
2024-01-21 06:04:00,33,4,255,255,255
2024-01-21 06:04:00,33,7,255,255,255
2024-01-21 06:05:00,33,7,255,255,255
2024-01-21 06:05:00,33,4,255,255,255
2024-01-21 06:05:00,33,8,255,255,255
2024-01-21 06:05:00,33,6,255,255,255
2024-01-21 06:05:00,33,9,255,255,255
2024-01-21 06:05:00,33,5,255,255,255
2024-01-21 06:05:00,33,3,255,255,255
2024-01-21 06:06:00,33,4,255,255,255
2024-01-21 06:06:00,33,6,255,255,255
